id,title,upload_date,year_band,performance_group,log_views_per_day,visible_text_verbatim,main_subject,face_count,dominant_object_or_scene,foreground_background_layout,text_position,contrast_level,color_palette,emotional_impression,thumbnail_hook_type,interpretation
BN-yIQT6gq0,Geleceğin Kısa Tarihi - 11 Dakikada 245 Yıl,20181028,2010-2018,high,7.648968,GELECEĞİN KISA TARİHİ 11 DAKİKADA 245 YIL,object,0,"A crescent moon with a blue and green gradient, resembling Earth from space",text_led,top,high,cool,curiosity,claim,"The thumbnail suggests a video that promises to provide a condensed history of the future in a short time frame, using a visually striking image of Earth from space to capture attention."
LGCZCo-rgu4,Barış Özcan & Şanışer - Korkudan,20180325,2010-2018,high,7.673976,KORKUDAN,mixed,2,"a person's face with a split effect, one side blue and the other red",split,center,high,mixed,curiosity,transformation,"The thumbnail suggests a transformation or duality, possibly related to fear or anxiety, as indicated by the text 'KORKUDAN'. The contrasting colors and split face may symbolize a psychological or emotional divide."
tUiP0_B6pP4,Dünya yuvarlak değildir!,20170514,2010-2018,high,7.797781,DUM . . . NYA ARINEGI . . .,person,1,A person adjusting glasses with a world map and starry sky in the background,split,bottom,high,cool,curiosity,mystery,"The thumbnail suggests a video about a mysterious or intriguing topic, possibly related to space or global events, given the visual elements and the foreign text."
hQXLrPlcbeo,Kim ulan* bu Elon Musk?,20171112,2010-2018,high,8.003045,KIM KIM ENKUNIENJU,person,1,a man in a suit standing on a rooftop with a cityscape in the background,split,bottom,high,warm,curiosity,question,"The thumbnail is designed to intrigue viewers with a question about the man's gesture and the text, possibly related to a mystery or transformation."
RNbf0RnrSqw,Fırat Kenarında Yüzen Kayıklar (Türkiye Earthquake Relief Project),20230519,2023-2026,low,4.53344,FIRAT KENARINDA YÜZEN KAYIKLAR,object,20,A group of musicians posing with their instruments in a recording studio,split,top,high,neutral,curiosity,event,"The thumbnail is designed to intrigue viewers by showcasing a group of musicians in a studio setting, with the text hinting at a specific theme or event related to the Fırat river."
vMJQBj1DmcI,25 ülkeden 100 genç neden bir araya geldik?,20230519,2023-2026,low,4.818136,25 VERENI 100 GENS 3,mixed,25,A group of people in a recording studio with musical instruments and microphones,split,bottom,high,neutral,curiosity,number,"The thumbnail suggests a collaborative music project involving 25 individuals, possibly celebrating a milestone or anniversary, with the number '3' hinting at a sequence or part of a series."
hd5McEKLJgY,Günde 750 e-Postayla Nasıl Başa Çıkıyorum?,20250516,2023-2026,low,5.285305,GELEN KONU N KASU ...,person,1,cardboard box with question mark,split,bottom,high,neutral,curiosity,question,"The thumbnail suggests a mystery or curiosity about the content of the box, possibly related to the text at the bottom."
HLmbb3pGBHY,Bu desende dikkatinizi çeken bir şey var mı?,20240602,2023-2026,low,5.544395,"DÜNYA
VENÜS
J. BAKIN ENİ: 5 VAD'LI MESİ
5 BAKIN ENİ:
J. KARLİ ENİ:
VAR LI ULUSLAR
VAR LI ULUSLAR
VAR LI ULUSLAR",object,0,A stylized representation of the solar system with planets labeled in Turkish,split,bottom,high,warm,curiosity,number,"The thumbnail is designed to intrigue viewers with its depiction of the solar system and numerical references, possibly hinting at a scientific or educational content."
7DFs2WifolI,Yeni stüdyom bir uzay gemisi: TARDIS,20231123,2023-2026,low,5.585867,UZAY GEMİSİ?,object,0,A TARDIS and a person in a red spacesuit on a barren landscape,split,left,high,warm,curiosity,question,"The thumbnail is designed to intrigue viewers with the question about a spaceship, featuring a TARDIS and a person in a red spacesuit on a barren landscape, suggesting a science fiction theme."
ueKZc6hN024,Uzaktan Kumandayla Hayvanları Kontrol Etmek,20240526,2023-2026,low,5.672658,kuşlar gerçek değil mi!,illustration,1,Illustration of a pigeon with various labeled components,split,top,high,neutral,curiosity,claim,"The thumbnail suggests a claim about the nature of the pigeon, possibly implying it is not a real bird but rather a technological device."
K3iFTE795o0,Demek Dünyayı Kurtarmak İstiyorsun? O zaman ARK yap!,20231128,2023-2026,low,5.731103,demek dünyayı değiştirmek istiyorsun... ARK yap!,person,1,a large ark structure in the background,split,right,high,neutral,serious,transformation,"The thumbnail suggests a call to action, possibly related to a project or initiative aimed at transforming the world, with the ark symbolizing a significant change or new beginning."
4RayX7iwz1Q,Domino Etkisi,20231210,2023-2026,low,5.754104,DOMINO ETKİSİ,person,1,dominoes falling in a line with a superhero character,split,center,high,neutral,curiosity,mystery,"The thumbnail suggests a video about the domino effect, possibly with a humorous or surprising twist involving the superhero character."
cbOSMapWBlY,Sinemayı kim icat etti?,20241113,2023-2026,low,5.828677,1888'DE KAYBOLDU!,person,1,a person holding a photograph,split,left,high,neutral,curiosity,claim,"The thumbnail suggests a historical mystery or disappearance from 1888, likely related to the person in the photograph."
zAssqk78h4E,Yapay Zeka Çağında Tasarım,20231105,2023-2026,low,5.839748,AI ÇAĞINDA YAŞAN,mixed,2,A man and a robot with a collage of numbers and electronic components,split,bottom,high,warm,curiosity,transformation,"The thumbnail is designed to intrigue viewers about the intersection of human and artificial intelligence, possibly exploring themes of transformation or evolution in the AI era."
axwVhuyPFwI,Spagettileştiren Kara Delikler,20240114,2023-2026,low,5.851406,Space ile polis oyunu oynamıyormıyımmissinizdik?... KARA DELİK,person,1,astronomical illustration with a person,split,bottom,high,warm,curiosity,question,"The thumbnail is designed to intrigue viewers with a question about playing a space police game, set against an astronomical backdrop, possibly to draw attention to a space-related content."
_J78SeTk7LQ,2023 Nobel Fizik Ödülü - Attosaniye Lazerler,20231008,2023-2026,low,5.895407,EN HIZLI LAZER,person,1,"a person in a floral shirt with a glowing, abstract, futuristic design in the background",split,left,high,cool,curiosity,claim,"The thumbnail is designed to intrigue viewers with the promise of a fast laser, possibly hinting at a scientific or technological topic."
GQEKkTug1Zk,21. Yüzyıl için gereken 4 Yetenek: Bir Yaz Projesi,20240714,2023-2026,low,5.903691,21.YY İÇİN GEREKLİ 4Y,person,1,a person smiling outdoors with a tree and a shed in the background,split,right,high,cool,joy,claim,"The thumbnail is designed to draw attention to a claim about what is essential for the 21st century, using a person's joyful expression to create a positive and engaging visual."
WiDGGJ-DROE,Frappuccino Etkisi,20230730,2023-2026,middle,6.823517,STARBUCKS EV FİYATLARI,person,1,a person drinking from a Starbucks cup with a straw,split,left|right,high,neutral,curiosity,claim,"The thumbnail suggests a discussion or analysis of Starbucks locations and their impact on real estate prices, possibly in Turkey."
T80Uf1QHb4g,ChatGPT-7 Burada Eğitilecek!,20251108,2023-2026,middle,6.834698,5 GW VERİ MERKEZİ,object,0,A satellite in orbit around Earth with a bright sun in the background,split,top,high,cool,curiosity,number,"The thumbnail is designed to intrigue viewers with the mention of a '5 GW Data Center' in space, likely related to satellite technology or space-based data centers."
6uIt4f38TdQ,Tek Kişilik Dev Kadro Nasıl Olunur?,20250502,2023-2026,middle,6.839235,"""solopreneur""",person,1,a person giving a thumbs-up in front of a stage with a person on a laptop in the background,split,left,high,neutral,curiosity,claim,"The thumbnail suggests a discussion or presentation about solo entrepreneurs, possibly highlighting their success or achievements."
7bv-LaRgFM0,Beynimi Ele Geçiren Görünmez Mimarlar,20251205,2023-2026,middle,6.839779,BU SESLER İN KINUĞUNU ŞİMDİYORI,person,1,a person holding a glowing object,split,right,high,warm,curiosity,mystery,"The thumbnail suggests a mysterious or intriguing scenario involving a glowing object and a person, possibly hinting at a transformation or event."
BzITvYw-vZ4,Google'ın Yeni Kuantum Çipi Paralel Evrenleri mi Kullanıyor?,20241222,2023-2026,middle,6.851337,,person,1,,,,,,,,
CUL_i-cY6RI,Dünyanın en büyük şelalesi suyun altında!,20230326,2023-2026,middle,6.870083,SUYUN ALTINDA SELALE?,landscape,1,an aerial view of a tropical island with turquoise waters and lush greenery,split,left,high,cool,curiosity,question,"The thumbnail is designed to intrigue viewers with a question about a storm under the sea, set against a visually stunning tropical backdrop."
k2QgPzi3dPc,Bunu Anlarsanız Her Şeyi Anlarsınız! Parçacık Fiziğinin Standart Modeli,20240331,2023-2026,middle,6.875828,BUNU ANLARSANIZ... HER ŞEYİ ANLARSINIZ!,person,1,a person holding a bonsai tree,split,center,high,neutral,curiosity,claim,The thumbnail aims to intrigue viewers by suggesting that understanding the bonsai tree will lead to broader knowledge.
WpAbtdX5WuU,2026'da Mars Hayali Çöktü mü? Starship Patlaması,20250620,2023-2026,middle,6.910074,STARSHIP,person,1,explosion with debris,split,right,high,warm,urgency,event,"The thumbnail suggests an event involving a starship, possibly a launch or a significant moment, with a sense of urgency or danger."
ijUPxCH_Z4w,BENNU asteroitinde yaşamın yapıtaşları bulundu! Yaşam Uzaydan mı Geldi?,20250202,2023-2026,middle,6.910809,YAŞAM UZAYDAN MI GELDİ?,person,1,"a person with glasses and a beard, sitting in a room with colorful decorations",split,center,high,warm,curiosity,question,"The thumbnail is designed to provoke curiosity about the origin of life, using a question format and a visually engaging background."
JdbpT7tWvpY,Yer altında yaşam mümkün mü?,20230903,2023-2026,middle,6.921576,YER ALTINDA YAŞAM,object,0,A cross-section of a house built into a cliff,split,left,high,warm,curiosity,mystery,"The thumbnail suggests an intriguing concept of living underground, possibly in a unique or unconventional setting."
2a4alueuxmA,Apple'ın böyle bir şey yaptığına inanamıyorum! SEVERANCE,20250119,2023-2026,middle,6.94167,İNANAMIYORUM!,person,2,"two men in suits, one with a computer screen on his head",split,top,high,neutral,curiosity,claim,"The thumbnail suggests a humorous or surreal scenario involving two men in suits, one of whom has a computer screen on his head, possibly indicating a technological or work-related theme. The text 'İNANAMIYORUM!' translates to 'I can't believe it!' in English, adding to the sense of disbelief or astonishment."
Nh9_VA21CXc,DUNE Bölüm 2 Analizi,20240306,2023-2026,middle,6.948003,2024'ÜN EN İYİSİ,mixed,1,a collage of various characters and a person in the background,collage,top,high,warm,curiosity,claim,"The thumbnail is designed to draw attention to a curated selection of the best content from 2024, likely related to movies or TV shows, given the diverse characters depicted."
fTFyk-ZCj4s,Tesla CYBERTRUCK nihayet çıktı!!!,20231203,2023-2026,middle,6.952577,CYBERTRUCK ÇIKTI !!,object,1,a futuristic Cybertruck vehicle,split,top,high,cool,curiosity,claim,"The thumbnail is designed to announce the release of the Cybertruck, likely to generate interest and excitement among viewers."
9dMSKvFMLm4,Senin Mavin Benimkiyle Aynı mı?,20260630,2023-2026,high,8.292426,moving...moving...,person,1,man adjusting his glasses against a blue background,single_subject,bottom,high,cool,curiosity,mystery,"The thumbnail suggests a sense of movement or transition, possibly hinting at a video about change or progress."
kVgyKz4hYcY,"9, 32, 66, 83 Yaşları Neden Önemli? Yolun Yarısı 35 Değil!",20260502,2023-2026,high,8.328559,BEYNİNZ KAÇ YAŞINDA?,person,1,a person holding a graph and numbers,split,bottom,high,neutral,curiosity,question,"The thumbnail is designed to intrigue viewers by asking about their brain age, using a visual representation of numbers and a graph to add a sense of scientific inquiry."
YNxxaxymFic,53 Yıl Sonra Ay’a Neden Geri Dönüyoruz? ARTEMIS 2,20260123,2023-2026,high,8.330319,AY'A GERİ DÖNÜYORUZ!,person,1,A full moon in the background,split,right,high,cool,curiosity,claim,"The thumbnail is designed to capture attention with a bold claim about returning to the moon, using a visually striking image of the moon and a person gesturing towards it."
n4LCbWCshdw,Neden Sürekli Yorgunuz?,20250216,2023-2026,high,8.355084,"NEDEN GÜNGÜL VODCHUNUZ
SEKURNOZ OLE YOK",person,1,a person lying down with a blue-lit background,text_led,bottom,high,cool,curiosity,question,The thumbnail is designed to intrigue viewers with a question about a person named Güngül and a mysterious absence of someone named Sekurnoz.
CpMJBlnpDTU,Z Kuşağı Aptallaşıyor mu? IQ Testleri neden düşüyor?,20260213,2023-2026,high,8.511887,IQ 1900-2026,person,1,A man gesturing with a red downward trending graph overlay,split,top,high,mixed,curiosity,claim,"The thumbnail is designed to provoke curiosity about the claim regarding IQ trends over time, using a visual of a man and a downward graph to emphasize the subject matter."
-ZPHKf-8T6I,Neden Her Şey Grileşiyor?,20260117,2023-2026,high,8.567231,GEÇMİŞ (Canlı & Renkli) BUGÜN (Soluk & Gri),object,1,comparison between past and present,split,top,high,mixed,curiosity,transformation,"The thumbnail highlights a stark contrast between the vibrant past and the muted present, likely to evoke curiosity about the reasons behind this change."
wJWta2lO0Lw,Sadece Wi-Fi modemle görüntüleme yapılabiliyor!,20260531,2023-2026,high,8.699124,KAMERA YOK!,person,1,a person in a room with a computer screen showing a hand gesture,split,center,high,neutral,curiosity,claim,"The thumbnail suggests a discussion or demonstration about camera functionality, possibly highlighting a feature or issue related to cameras."
8bYUa4U8r6s,Backrooms Efsanesi,20260606,2023-2026,high,8.702404,ARKADAKİ ODA,person,1,a person in a room with a tripod-like object in the background,split,bottom,high,neutral,curiosity,mystery,"The thumbnail suggests a mysterious or intriguing scenario, possibly related to a hidden room or a secret location, as indicated by the text and the unusual object in the background."
3govhbrSRuE,Sinek Beynini Bilgisayara Yüklediler (Ve Çalıştı),20260313,2023-2026,high,8.736322,SİMÜLASYON SİNEK BEYNİ simultaneous brain emulation,person,1,"A person with hands covering their face, a screen showing a fly and brain cells, and text describing a brain emulation",split,top,high,cool,curiosity,claim,"The thumbnail is designed to intrigue viewers with the concept of brain emulation, possibly related to artificial intelligence or neuroscience, and the person's reaction suggests a sense of wonder or concern."
e9SEsdHlt2o,Pentagon yeni UFO dosyalarını açtı!,20260510,2023-2026,high,8.762177,EN IKNAT GRICI UFO KANITI!,person,1,UFO with bright light effect,split,bottom,high,cool,curiosity,claim,"The thumbnail is designed to intrigue viewers with a claim about a UFO sighting or evidence, using a dramatic visual and bold text."
9ZSZRKPD3_A,Yıldızlara Neden ASLA Gidemeyeceğiz?,20260227,2023-2026,high,9.384075,,person,1,astronaut in space suit with starry background,split,none,high,cool,curiosity,mystery,The thumbnail evokes curiosity about the astronaut's journey or discovery in space.
Xn51Ujzrx68,Truva Atı'nın içinde ne vardı? The Odyssey Film Analizi,20260724,2023-2026,high,9.664925,ODYSSEY,mixed,1,"a warrior in ancient armor facing a fiery, chaotic scene with a large elephant-like creature",split,right,high,warm,curiosity,question,"The thumbnail is designed to intrigue viewers with a mix of historical and fantastical elements, possibly hinting at a narrative or story involving Odysseus and mythical creatures."
f8wQj7zbspE,Japonya'da hiçbir şey göründüğü gibi değil (1. Bölüm),20260807,2023-2026,high,10.73924,JAPONYA NEDEN BÖYLE?,person,1,Japanese landscape with Mount Fuji and a pagoda,split,left,high,cool,curiosity,question,"The thumbnail is designed to intrigue viewers about the unique aspects of Japan, using a visually striking image of Mount Fuji and a pagoda to represent the country."
